Database,Project ID,PMID,Title,Total Samples,preCancer,Case Cancer Untreated,Case Cancer Treated,Control Healthy,Healthy Treated,Patients / donors,Tissue Cell Type Detailed,Sample Type,Tissue,Organ,Tumor Type,Cell Line Name,Cell Line Cancer;Normal,Cell Line Organ,Tumor type for cell lines,Tissue for cell lines,Disease,Disease Subtype,Experimental Design,Short Description,Platform MS (Unified),TMT Label (Unified),Proteins Quantified,TMT Channels Used,TMT Channels Comparison,TMT Additional Channels,Samples Original N,Samples Used N,Normalization Strategy,Z-Score Level,Z-Score Scope,FASTA (Unified),FASTA Year,Modifications,FDR (Unified %),Result Files,URL,Main_Finding,Data_Caveats,Quantification_Format
PRIDE,PXD017852,32612236,Systematic Quantitative Analysis of Ribosome Inventory Upon Nutrient Stress,55,,3.0,30.0,6,16.0,0,HEK293; HEK293T human embryonic kidney cell lines; HCT116 colorectal carcinoma cell line,Cell Lines,Kidney; Colon,Kidney; Colon,Colorectal carcinoma,HEK293; HEK293T; HCT116,Normal; normal; cancer,Kidney; Colon,Colorectal carcinoma,Kidney; Colon epithelium,,Colorectal carcinoma,"TMT-based bulk quantitative proteomics of whole-cell lysates; untreated vs amino acid withdrawal (−AA, 10 h) and mTOR inhibition (Torin1, 10 h); WT and autophagy-deficient backgrounds (ATG5, ATG7, RB1CC1)",Total proteome profiling of human cell lines under acute nutrient stress,Orbitrap Tribrid series,TMT 11-plex,8000.0,"Condition (applied per genotype): UT = untreated control; Column name Meaning WT_UT1_sn sum WT, untreated, biological replicate 1 WT_UT2_sn sum WT, untreated, biological replicate 2 WT_UT3_sn sum WT, untreated, biological replicate 3 WT_UT01_sn sum WT, untreated, biological replicate 1 (alternative naming) WT_UT02_sn sum WT, untreated, biological replicate 2 (alternative naming) WT_UT03_sn sum WT, untreated, biological replicate 3 (alternative naming)",,"Genotype: WT (wild type, no gene knockout); ATG5 KO (ATG5 gene knockout); RB1CC1 KO (RB1CC1 gene knockout). Condition (applied per genotype): UT = untreated control; −AA = amino acid withdrawal; Torin1 = mTOR inhibition.",,,Channel-wise total reporter signal normalization,,,UniProt,2019.0,"Fixed: Carbamidomethyl (C); TMT (K, Protein N-term). Variable: Oxidation (M)",0.01,result_PXD017852.xlsx,https://www.omicsdi.org/dataset/pride/PXD017856,"Ribosomal protein abundance decreases modestly (4.6-11.6%) under nutrient stress, largely autophagy-independent",,Not specified
PRIDE,PXD017857,32612236,Systematic Quantitative Analysis of Ribosome Inventory Upon Nutrient Stress,29,,,,6,23.0,0,HEK293T human embryonic kidney cell line,Cell Lines,Kidney,Kidney,,HEK293T,Normal,Kidney,,Kidney,,,"WT UT(0h) represents the baseline control; all other channels correspond to treatments, time controls, or knockout genotypes.",Direct measurement of protein degradation dynamics under nutrient stress,Orbitrap Tribrid series,TMT 11-plex,8000.0,WT_UT(0h)_1_sn sum WT_UT(0h)_2_sn sum WT_UT(0h)_3_sn sum WT_UT(12h)_1_sn sum WT_UT(12h)_2_sn sum WT_UT(12h)_3_sn sum,WT_Tor(12h)_1_sn sum WT_Tor(12h)_2_sn sum WT_Tor(12h)_3_sn sum ATG7_NegCtrl_sn sum ATG7_UT(0h)_1_sn sum ATG7_UT(0h)_2_sn sum ATG7_UT(0h)_3_sn sum ATG7_UT(12h)_1_sn sum ATG7_UT(12h)_2_sn sum ATG7_UT(12h)_3_sn sum ATG7_Tor(12h)_1_sn sum ATG7_Tor(12h)_2_sn sum ATG7_Tor(12h)_3_sn sum RB1CC1_NegCtrl_sn sum RB1CC1_UT(0h)_1_sn sum RB1CC1_UT(0h)_2_sn sum RB1CC1_UT(0h)_3_sn sum RB1CC1_UT(12h)_1_sn sum RB1CC1_UT(12h)_2_sn sum RB1CC1_UT(12h)_3_sn sum RB1CC1_Tor(12h)_1_sn sum RB1CC1_Tor(12h)_2_sn sum RB1CC1_Tor(12h)_3_sn sum,ATG7_NegCtrl_sn sum RB1CC1_NegCtrl_sn sum,,,,,,UniProt,2019.0,"Fixed: Carbamidomethyl (C); TMT (K, Protein N-term). Variable: Oxidation (M)",0.01,result_PXD017857.xlsx,https://www.omicsdi.org/dataset/pride/PXD017856,"Ribosomal proteins show accelerated, largely autophagy-independent degradation upon mTOR inhibition",,Not specified
PRIDE,PXD019240,32891189,Organoids model transcriptional hallmarks of oncogenic KRAS activation in lung epithelial progenitor cells,8,,0.0,4.0,4,,0,"IAT2 organoids (NKX2-1^GFP+ / SFTPC^tdTomato+), derived from human iPSCs",Cell Lines,Lung epithelial organoids (iAT2),Lung,Lung Adenocarcinoma (experimental model),BU3-NGST-TetOn-KRASG12D,Normal,Lung,Lung Adenocarcinoma (experimental model),Epithelial Tissues,Lung Adenocarcinoma,KRAS-G12D mutant early-stage Lung Adenocarcinoma,"Case-control proteomic and phosphoproteomic profiling using TMT-10plex labeling. Eight samples were tryptically digested, labeled with TMT 10-plex tags and pooled. Peptide mixture was fractionated via basic reversed-phase HPLC into 12 fractions, and each fraction was split to both directly analyze proteome and be individually phosphoenriched.. Drug-treatment (doxycycline induction vs DMSO vehicle); case–control; TMT-based quantitative proteomics and phosphoproteomics","Deep proteome and phosphoproteome profiling of human iAT2 organoids carrying inducible KRASG12D, comparing untreated cancer-model controls (DMSO) to doxycycline-induced KRASG12D activation using TMT-based LC-MS/MS",Q Exactive HF-X,TMT 10-plex,6000.0,Reporter intensity corrected 1 Control1 DMSO (control) Reporter intensity corrected 2 Control2 DMSO (control) Reporter intensity corrected 3 Control3 DMSO (control) Reporter intensity corrected 4 Control4 DMSO (control),Reporter intensity corrected 5 KRASmut1 dox-induced KRASG12D Reporter intensity corrected 6 KRASmut2 dox-induced KRASG12D Reporter intensity corrected 7 KRASmut3 dox-induced KRASG12D Reporter intensity corrected 8 KRASmutG12D4 dox-induced KRASG12D,,8.0,4,TMT-based reporter ion normalization (MaxQuant),,,UniProt,2019.0,Fixed: Carbamidomethyl (C). Variable: Oxidation (M); Acetylation (Protein N-term),0.01,result_PXD019240.xlsx,https://www.omicsdi.org/dataset/pride/PXD019240,Proteomic and phosphoproteomic confirmation of KRAS pathway activation in human iAT2 lung cancer model organoids,"Control samples are engineered cells (BU3-NGST-TetOn-KRASG12D) with inducible oncogenic mutation system, not normal/healthy",Not specified
PRIDE,PXD019544,33441310,Multiomics Characterization of Low-Grade Serous Ovarian Carcinoma Identifies Potential Biomarkers of MEK Inhibitor Sensitivity and Therapeutic Vulnerability,12,,12.0,,,,0,Low-grade serous ovarian carcinoma (LGSOC) patient-derived cell lines; 5 HGSOC,Cell Lines,Low-grade serous ovarian carcinoma cell lines,Ovary,Carcinoma,CL-1; CL-2; CL-6; CL-7; CL-10; CL-14; CL-15; mcCTRL; hgCTRL; PIS,Cancer,Ovary,Carcinoma,Epithelial Tissues,Low-Grade Serous Ovarian Carcinoma,MEKi-sensitive and MEKi-resistant phenotypes,"TMT10-based quantitative proteomics; 3 TMT batches; 7 LGSOC cell lines measured in biological triplicates; pooled LGSOC control; pooled HGSOC control; pooled internal standard; 126–129C = LGSOC линии, 130C = LGSOC pooled, 130N = HGSOC pooled, 131 = pooled internal standard","TMT10 MS3 proteomic profiling of 7 LGSOC cell lines (triplicates) with pooled LGSOC, pooled HGSOC, and pooled internal standard to identify protein biomarkers associated with MEK inhibitor sensitivit",Orbitrap Fusion,TMT 10-plex,5100.0,LGSOC cell lines (126–129C)'; 130C = LGSOC pooled; 130N = HGSOC pooled,,131 = pooled internal standard,12.0,12,Pooled internal standard (IRS) + ComBat batch correction,,,UniProt,2019.0,"Fixed: Carbamidomethyl (C); TMT (K, Protein N-term). Variable: Oxidation (M); Acetylation (Protein N-term); Phosphorylation (S, T, Y)",,result_PXD019544.xlsx,https://www.omicsdi.org/dataset/pride/PXD019544,Protein signatures identify MEK inhibitor sensitivity/resistance in low-grade serous ovarian carcinoma. TMT proteomics outperforms transcriptomics. OXPHOS in sensitive; MAPK/PI3K-AKT-mTOR in resistant,,Not specified
PRIDE,PXD020586,34099695,Quantitative single-cell proteomics as a tool to characterize cellular hierarchies,2514,,2514.0,,0,,1,OCI-AML8227 AML cells; LSC (CD34+CD38−); PROG (CD34+CD38+); BLAST CD38−; BLAST CD38+,Cell Lines,Bone marrow,Hematopoietic system,Acute Myeloid Leukemia (AML),OCI-AML8227,Cancer,Bone marrow,Acute Myeloid Leukemia,Bone marrow,Acute Myeloid Leukemia (AML),AML hierarchy (LSC → PROG → BLAST),"Single-cell proteomics; TMTPro 16-plex; FACS index sorting; pre-sorted 500ms; pre-enriched; unbiased bulk; differentiation trajectory analysis; SCeptre normalization.Booster: 126 (1 channel) → ~200 cell equivalent Reference: 127C (1 channel) → reference or empty Single Cell: 127N, 128N, 128C, 129N, 129C, 130N, 130C, 131N, 131C, 132N, 132C, 133N, 133C, 134N (14 channels per run)",Single-cell TMTPro proteomics of 2514 OCI-AML8227 AML cells resolving proteomic AML hierarchy,Orbitrap Exploris,TMTpro 16-plex,2723.0,14 single-cell channels (127N; 128N; 128C; 129N; 129C; 130N; 130C; 131N; 131C; 132N; 132C; 133N; 133C; 134N),,126 carrier (~200-cell equivalent); 127C bridge/reference channel,2514.0,2514,SCeptre; bridge-channel normalization; log-normalization; batch correction across plates,,,UniProt,2020.0,Fixed: TMTpro (N-term; K); Carbamidomethyl (C). Variable: Oxidation (M),0.01,result_PXD020586.xlsx,https://www.omicsdi.org/dataset/pride/PXD020586,"Single-cell proteomics of 2,514 AML cells (~917 proteins/cell); AML hierarchy confirmed; SCeptre Python package developed",,Not specified
PRIDE,PXD021265_CL,35197447,Proteomic profiling reveals CDK6 upregulation as a targetable resistance mechanism for lenalidomide in multiple myeloma,18,,2.0,16.0,0,0.0,0,Proteomic profiling reveals CDK6 upregulation as a targetable resistance mechanism for lenalidomide in multiple myeloma,Cell Lines,Bone marrow,Bone marrow,Myeloma,MM1S,Cancer,Bone marrow,Multiple myeloma,Plasma cells,Multiple myeloma,Drug perturbation,TMT-11plex drug perturbation proteome and phosphoproteome,"Global and phosphoproteome profiling of MM1S cells treated with pomalidomide, palbociclib and PROTAC degraders (YKL, BSJ) at 3h and 24h",Q Exactive HF-X,TMT 11-plex,8000.0,Reporter intensity corrected 2 plex1 = DMSO 24h Reporter intensity corrected 3 plex2 = DMSO 24h,Reporter intensity corrected 1 plex1 = pomalidomide + palbociclib 24h Reporter intensity corrected 3 plex1 = pomalidomide 24h Reporter intensity corrected 4 plex1 = palbociclib 24h Reporter intensity corrected 5 plex1 = YKL PROTAC 24h Reporter intensity corrected 6 plex1 = palbociclib 3h Reporter intensity corrected 7 plex1 = internal standard 2 (excluded) Reporter intensity corrected 8 plex1 = BSJ PROTAC 24h Reporter intensity corrected 9 plex1 = pomalidomide + palbociclib 24h Reporter intensity corrected 10 plex1 = BSJ PROTAC 24h Reporter intensity corrected 1 plex2 = BSJ PROTAC 3h Reporter intensity corrected 2 plex2 = pomalidomide 24h Reporter intensity corrected 4 plex2 = internal standard 2 (excluded) Reporter intensity corrected 5 plex2 = palbociclib 3h Reporter intensity corrected 6 plex2 = BSJ PROTAC 3h Reporter intensity corrected 7 plex2 = pomalidomide 3h Reporter intensity corrected 8 plex2 = palbociclib 24h Reporter intensity corrected 9 plex2 = pomalidomide 3h Reporter intensity corrected 10 plex2 = YKL PROTAC 24h,Reporter intensity corrected 11 plex1 = pooled internal standard (normalization) Reporter intensity corrected 11 plex2 = pooled internal standard (normalization),22.0,18,Pooled reference channel (131),,,UniProt,2017.0,Fixed:; Carbamidomethyl (C); Variable:; Oxidation (M); Acetyl (Protein N-term),0.01,result_PXD021265_CL.xlsx,https://www.omicsdi.org/dataset/pride/PXD021265,CDK6 upregulated in relapse samples indicating IMiD therapy resistance,"Relapse vs diagnosis, no healthy controls",Not specified
PRIDE,PXD021265_PC,35197447,Proteomic profiling reveals CDK6 upregulation as a targetable resistance mechanism for lenalidomide in multiple myeloma,10,,5.0,5.0,0,0.0,5,CD138+ plasma cells (MACS-enriched),Primary cells,Bone marrow,,Myeloma,,,,,,Multiple myeloma,Plasma cell myeloma,Paired longitudinal proteomics (diagnosis vs relapse),TMT-based quantitative proteomics of paired diagnosis and relapse bone marrow CD138+ plasma cells from multiple myeloma patients,Q Exactive HF-X,TMT 11-plex,6094.0,Reporter intensity corrected 2 MM = Patient 1 diagnose Reporter intensity corrected 4 MM = Patient 2 diagnose Reporter intensity corrected 6 MM = Patient 3 diagnose Reporter intensity corrected 8 MM = Patient 4 diagnose Reporter intensity corrected 10 MM = Patient 5 diagnose,Reporter intensity corrected 1 MM = Patient 1 relapse Reporter intensity corrected 3 MM = Patient 2 relapse Reporter intensity corrected 5 MM = Patient 3 relapse Reporter intensity corrected 7 MM = Patient 4 relapse Reporter intensity corrected 9 MM = Patient 5 relapse,,10.0,10,Median-MAD normalization (log2 ratios relapse/diagnosis),,,UniProt,2017.0,Fixed:; Carbamidomethyl (C); Variable:; Oxidation (M); Acetyl (Protein N-term),0.01,result_PXD021265_PC.xlsx,https://www.omicsdi.org/dataset/pride/PXD021265,CDK6 upregulated in relapse samples indicating IMiD therapy resistance,"Relapse vs diagnosis, no healthy controls",Not specified
PRIDE,PXD022252,33649590,Dual DNA and protein tagging of open chromatin unveils dynamics of epigenomic landscapes in leukemia,18,,5.0,13.0,,,0,K562 (CML cell line) nuclei; NB4 (APL cell line) nuclei,Cell Lines,Blood,Blood,Chronic Myeloid Leukemia; Acute Promyelocytic Leukemia,K562; NB4,Cancer; cancer,Blood,Chronic Myeloid Leukemia; Acute Promyelocytic Leukemia,Blood,Leukemia,Chronic Myeloid Leukemia; Acute Promyelocytic Leukemia,"The study introduced iDAPT, combining quantitative MS (iDAPT-MS) and sequencing (iDAPT-seq) via a Tn5/APEX2 fusion probe to profile the open chromatin proteome and assess regulatory dynamics in K562 and NB4 leukemia cells differentiating under ATRA treatment.Affinity purification of biotin-labeled open chromatin–associated proteins using Tn5–APEX2 fusion probes (TP3, TP5) with technical controls (Tn5-F, APEX2-F) in K562; drug treatment (1 μM ATRA) in NB4; TMT 10-plex quantitative MS.",Simultaneous profiling of open chromatin DNA and associated proteins in leukemia cell lines with differentiation induction. Simultaneous profiling of open chromatin–associated proteome using Tn5–APEX2 fusion probes (TP3/TP5) with technical controls in K562 and ATRA-induced differentiation in NB4.,LTQ-Orbitrap,TMT 10-plex,,NB4 (Supplementary Table 2): 126 (NB4 DMSO) 127n (NB4 DMSO) 127c (NB4 DMSO) 128n (NB4 DMSO) 128c (NB4 DMSO),"K562 (Supplementary Table 1): 127c (Tn5-F rep1) 128c (Tn5-F rep2) 129n (APEX2-F rep1) 129c (APEX2-F rep2) 130n (TP3 rep1) 130c (TP3 rep2) 131n (TP5 rep1) 131c (TP5 rep2). Supplementary Table 2, NB4 + ATRA): 129n → NB4 + 1 μM ATRA (rep1) 129c → NB4 + 1 μM ATRA (rep2) 130n → NB4 + 1 μM ATRA (rep3) 130c → NB4 + 1 μM ATRA (rep4) 131 → NB4 + 1 μM ATRA (rep5)",,18.0,5,"Normalized PSMs were then log2-transformed and collapsed to proteins by arithmetic average, with priority given to uniquely mapping peptides",,,UniProt,,"Fixed: Carbamidomethyl (C); TMT (K, Protein N-term). Variable: Oxidation (M)",0.01,result_PXD022252.xlsx,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD022252,Dynamic remodeling of open chromatin proteome during ATRA-induced differentiation,,Not specified
PRIDE,PXD022733,33672863,"Proteomic Analysis of Low-Grade, Early-Stage Endometrial
 Carcinoma Reveals New Dysregulated Pathways Associated
 with Cell Death and Cell Signaling",32,,16.0,,16,,16,"Formalin-fixed, paraffin-embedded (FFPE) tumor tissue and paired healthy tissue",Tissue,Endometrial tissue,Uterus,Endometrioid carcinoma; normal,,,,,,Endometrial cancer; normal,Low-grade endometrioid endometrial carcinoma FIGO I-II; normal,Paired case-control intra-patient comparison using TMT multiplexing,Quantitative proteomic profiling of 16 paired FFPE tumor and adjacent normal tissues to identify dysregulated pathways in early-stage low-grade endometrial carcinoma,Q Exactive,TMT 10-plex,3112.0,SAMPLE_1_T; SAMPLE_1_N; SAMPLE_2_T; SAMPLE_2_N; SAMPLE_3_T; SAMPLE_3_N; SAMPLE_4_T; SAMPLE_4_N; SAMPLE_5_T; SAMPLE_5_N; SAMPLE_6_T; SAMPLE_6_N; SAMPLE_7_T; SAMPLE_7_N; SAMPLE_8_T; SAMPLE_8_N; SAMPLE_9_T; SAMPLE_9_N; SAMPLE_10_T; SAMPLE_10_N; SAMPLE_11_T; SAMPLE_11_N; SAMPLE_12_T; SAMPLE_12_N; SAMPLE_13_T; SAMPLE_13_N; SAMPLE_14_T; SAMPLE_14_N; SAMPLE_15_T; SAMPLE_15_N; SAMPLE_16_T; SAMPLE_16_N,,,32.0,32,Internal Reference Scaling protein level normalization,,,UniProt,2019.0,"Fixed: Carbamidomethyl (C); TMT (K, Protein N-term). Variable: Oxidation (M); Acetylation (Protein N-term)",0.01,result_PXD022733.xlsx,https://www.omicsdi.org/dataset/pride/PXD022733,Proteomic analysis of low-grade endometrial carcinoma: SLIT/ROBO dysregulation; necroptosis (RIPK1/RIPK3/MLKL up); ferroptosis suppressors up; WNT activation; HMGB3 up; L1CAM 6.1%; innate immunity dominance,Healthy tissues from cancer patients,Not specified
PRIDE,PXD022834,33628210,Comparative Cell Surface Proteomic Analysis of the Primary Human T Cell and Monocyte Responses to Type I Interferon,26,,1.0,1.0,12,12.0,12,Primary CD14+ monocytes; Primary CD4+ T cells; Primary Pan-Monocytes; THP-1,Primary cells,Blood (PBMC-derived immune cells),Blood,Normal: Cancer,THP-1,Cancer; cancer; cancer,Blood,Leukemia,Blood,NA (primary cells); Leukemia (THP-1),,"IFNα2a stimulation vs unstimulated (paired within donor), cell-surface / plasma membrane profiling; TMT multiplexing; single-shot plus SCX fractionation (6 fractions) for CD14+ and CD4+ datasets","Quantitative plasma membrane/cell-surface proteomics of primary human CD14+ monocytes and CD4+ T cells (plus Pan-Monocytes, THP-1) comparing +IFNα2a vs unstimulated using TMT and MultiNotch MS3. Perturbation (anti-material): IFNα2a stimulation (overnight). CD14+ monocytes: 1600 IU/ml IFNα2a Pan-Monocytes: 1000 IU/ml IFNα2a CD4+ T cells: 1000 IU/ml IFNα2a THP-1: ±IFNα2a (Table S5A)",Orbitrap Fusion,TMT 10-plex,606.0,Donor 1 Unstimulated Donor 2 Unstimulated Donor 3 Unstimulated Donor 4 Unstimulated Donor 5 Unstimulated Donor 6 Unstimulated Donor 7 Unstimulated Donor 8 Unstimulated Donor 9 Unstimulated Donor 10 Unstimulated Primary Pan-Monocytes Donor 11 Unstimulated Donor 12 Unstimulated THP-1 Unstimulated,Donor 1 + IFN Donor 2 + IFN Donor 3 + IFN Donor 4 + IFN Donor 5 + IFN Donor 6 + IFN Donor 7 + IFN Donor 8 + IFN Donor 9 + IFN Donor 10 + IFN Donor 11 + IFN Donor 12 + IFN THP-1 + IFN,,26.0,13,Reporter ion signal-to-noise channel-sum normalization (MassPike); equal loading adjustment for primary monocytes/CD4 prior to final combining (per Methods),,,UniProt,2017.0,"Fixed: Carbamidomethyl (C); TMT (K, Protein N-term). Variable: Oxidation (M)",0.01,result_PXD022834.xlsx,https://www.omicsdi.org/dataset/pride/PXD022834,IFNα2a-induced cell-surface/PM proteome changes in primary CD14+ monocytes and CD4+ T cells with donor-paired design,,Not specified
PRIDE,PXD023293,35885999,Pilot Study Showing Feasibility of Phosphoproteomic Profiling of Pathway-Level Molecular Alterations in Barrett’s Esophagus,20,5.0,0.0,0.0,15,0.0,10,"Barrett’s esophagus lesion biopsies, paired adjacent squamous epithelium, and healthy squamous epithelium",Tissue,Esophageal epithelium,Esophagus,,,,,,,Barrett's Esophagus,Non-dysplastic BE,Case–control paired design; discovery and validation cohorts; quantitative phosphoproteomics using TMT multiplexing,Quantitative LC-MS/MS TMT-based proteome and phosphoproteome profiling of Barrett’s esophagus lesions compared with paired adjacent normal tissue and healthy controls,Q Exactive HF-X,TMT 11-plex,6810.0,X103B 103 Normal (adjacent) Squamous epithelium paired with X103A X105B 105 Normal (adjacent) Squamous epithelium paired with X105A X109B 109 Normal (adjacent) Squamous epithelium paired with X109A X111B 111 Normal (adjacent) Squamous epithelium paired with X111A X112B 112 Normal (adjacent) Squamous epithelium paired with X112A X101A 101 Normal (healthy) Squamous epithelium replicate X101B 101 Normal (healthy) Squamous epithelium replicate X104A 104 Normal (healthy) Squamous epithelium replicate X104B 104 Normal (healthy) Squamous epithelium replicate X106A 106 Normal (healthy) Squamous epithelium replicate X106B 106 Normal (healthy) Squamous epithelium replicate X107A 107 Normal (healthy) Squamous epithelium replicate X107B 107 Normal (healthy) Squamous epithelium replicate X108A 108 Normal (healthy) Squamous epithelium replicate X108B 108 Normal (healthy) Squamous epithelium replicate,Sample Patient Group Tissue Relation X103A 103 Disease (Barrett’s esophagus) Barrett’s lesion paired with X103B X105A 105 Disease (Barrett’s esophagus) Barrett’s lesion paired with X105B X109A 109 Disease (Barrett’s esophagus) Barrett’s lesion paired with X109B X111A 111 Disease (Barrett’s esophagus) Barrett’s lesion paired with X111B X112A 112 Disease (Barrett’s esophagus) Barrett’s lesion paired with X112B,,20.0,15,Log2 transformation + quantile normalization (LIMMA pipeline),,,UniProt,2019.0,Fixed: Carbamidomethyl (C); Variable: Oxidation (M); Acetyl (Protein N-term),0.01,result_PXD023293.xlsx,https://www.omicsdi.org/dataset/pride/PXD023293,"Barrett's esophagus proteomic signature (59 proteins) and phosphoproteomic signature (64 phosphosites): EMT, ECM remodeling, DDR, UPR",Already normalized; cancer vs pre-cancer (not normal),Normalized
PRIDE,PXD024322,35173148,Proteomic analysis of archival breast cancer clinical specimens identifies biological subtypes with distinct survival outcomes,338,,300.0,,38,,338,Archival FFPE primary invasive breast cancer excision specimens; normal reduction mammoplasty samples,Tissue,Breast tumor and normal tissue,Breast,Invasive breast carcinoma; normal,,,,,,Breast cancer,"PAM50 subtypes (Luminal A, Luminal B, Basal-like, Her2-Enriched); Triple-negative breast cancer subclasses","Case-control, TMT 11-plex, clinical cohort, SP3-CTP methodology",Global proteomic profiling of 300 FFPE breast cancer tumors and 38 normal breast tissues using TMT 11-plex; identification of proteomic clusters associated with survival outcomes,Orbitrap Fusion,TMT 11-plex,4214.0,Set_k_1 = X126 = Normal set_k_2 = X127N = Luminal A set_k_3 = X127C = Luminal A set_k_4 = X128N = Luminal B set_k_5 = X128C = Luminal B set_k_6 = X129N = Basal-like set_k_7 = X129C = Basal-like set_k_8 = X130N = Her2-Enriched set_k_9 = X130C = Her2-Enriched set_k_10 = X131N = Supermix (standard / “SuperMix”) set_k_11 = X131C = PIS (pooled internal standard; плюс IsoDoping peptides),,"131N (Supermix standard); 131C (Pooled Internal Standard, PIS + IsoDoping peptides)",338.0,338,Log2(PSM abundance / PIS); within-plex normalization to pooled internal standard (131C),,,UniProt,2018.0,"Fixed: Carbamidomethyl (C), TMT (Peptide N-term); ; Variable: Oxidation (M), Methylation (K), TMT (K)",0.01,result_PXD024322.xlsx,https://www.omicsdi.org/dataset/pride/PXD024322,"Immune-high proteomic cluster with favorable survival; refined TNBC subclasses (basal-immune hot/cold, mesenchymal, luminal AR)",Values log-transformed: log2(PSM abundance / PIS value) where PIS = pooled internal standard,Log-transformed
PRIDE,PXD025052,34646394,Proteomic analysis of lung cancer cells reveals a critical role of BCAT1 in cancer cell metastasis,10,,5.0,,5,,6,Primary NSCLC tumor tissue; lymph node metastasis tissue,Tissue,Lung tumor; lymph node metastasis,Lung,Lung adenocarcinoma,,,,,,Lung cancer,NSCLC with lymph node metastasis,4 paired FFPE primary vs metastatic + 2 frozen independent tissues; TMT 10-plex,Quantitative TMT proteomics comparing primary and metastatic NSCLC tissues,Q Exactive,TMT 10-plex,5800.0,P.1 Patient 1 FFPE Primary M.1 Patient 1 FFPE Metastasis P.2 Patient 2 FFPE Primary M.2 Patient 2 FFPE Metastasis P.3 Patient 3 FFPE Primary M.3 Patient 3 FFPE Metastasis P.4 Patient 4 FFPE Primary M.4 Patient 4 FFPE Metastasis P.5 Patient 5 Frozen Primary M.5 Patient 6 Frozen Metastasis,,,,,Reporter ion intensity normalization in MaxQuant,,,UniProt,,"Fixed: Carbamidomethyl (C), TMT (+229.1629) Lys/N-term; Variable: Oxidation (M)",0.01,result_PXD025052.xlsx,https://www.omicsdi.org/dataset/pride/PXD025052,BCAT1 upregulated in metastatic tissues,,Not specified
PRIDE,PXD026279,34885041,Proteomic Signatures of Diffuse and Intestinal Subtypes of Gastric Cancer,20,,10.0,,10,,10,Fresh frozen tumor tissue and adjacent normal tissue of patients with gastric cancer,Tissue,Gastric carcinoma tissue,Stomach,Gastric adenocarcinoma,,,,,,Gastric cancer,Intestinal and Diffuse subtypes,Diffuse subtype (n=5); Intestinal subtype (n=5) Paired tumor vs adjacent normal comparison; two independent TMT 10-plex experiments (diffuse and intestinal analyzed separately),Quantitative LC-MS/MS TMT 10-plex proteomic profiling of paired tumor and adjacent normal tissues from 5 diffuse and 5 intestinal gastric cancer patients to identify subtype-specific differential protein signatures.,Q Exactive HF-X,TMT 10-plex,4846.0,Diffuse subtype Sample Identifier Tumor Adjacent norrmal Patient 1 126 127N Patient 2 127C 128N Patient 3 128C 129N Patient 4 129C 130N Patient 5 130C 131 Intestinal subtype Sample Identifier Tumor Adjacent norrmal Patient 1 126 129N Patient 2 127N 129C Patient 3 127C 130N Patient 4 128N 130C Patient 5 128C 131,,,,,Relative TMT reporter ion quantification; paired two-tailed t-test; ≥2-fold change threshold; Perseus statistical analysis,,,UniProt,2019.0,"Fixed: Carbamidomethyl (C), TMT 10-plex (N-term, K); Variable: Oxidation (M)",0.01,result_PXD026279.xlsx,https://www.omicsdi.org/dataset/pride/PXD026279,"Subtype-specific signatures: GREM1, BAG2, OLFM4, TRIP6 in diffuse; MAGE-A9 in intestinal; mRNA-protein correlation diffuse r=0.46, intestinal r=0.28","Already normalized, ratio to healthy, not raw",Normalized
PRIDE,PXD027335,36495079,Glioblastoma stem cells express non-canonical proteins and exclusive mesenchymal-like or non-mesenchymal-like protein signatures,8,0.0,7.0,0.0,1,0.0,6,BT GSC (6 lines) + T98G + astrocyte; triplicates across 3 TMT sets,Cell Lines,Brain,Brain,Glioblastoma,BT GSC; T98G; astrocyte,Cancer; normal,Brain,Glioblastoma,Brain,Glioblastoma,Proneural/Classical,Discovery: GSC vs controls,HiRIEF LC-MS/MS proteogenomic profiling; 3 TMT10 sets,Q Exactive HF,TMT 10-plex,11000.0,TMT_label Set1 Set2 Set3 127N T98GA BT373A BT379C 127C BT517B BT417B BT462C 128N BT379A T98GC BT417C 128C BT462A BT273B BT517A 129N BT462B BT517C BT379B 129C BT373B astrocyteA BT273A 130N BT273C BT417A astrocyteC 130C astrocyteB BT373C T98GB,,126 I.S. A I.S. A I.S. A 131 I.S. B I.S. B I.S. B,30.0,24,Median of PSM ratios with internal standards,,,Ensembl,,Carbamidomethyl(C); Oxidation(M); TMT,0.01,result_PXD027335.xlsx,https://www.ebi.ac.uk/pride/archive/projects/PXD027335,GSAPS defined; non-canonical peptides detected,Tables show negative values indicating normalization,Not specified
